"Id","Name"
0,"No Region"
1,"01_R01_Munich (BY)"
2,"01_R02_Stuttgart (BW)"
3,"01_R03_Frankfurt (HE, SL)"
4,"01_R04_Cologne (NRW_South, RP)"
5,"01_R05_Dusseldorf (NRW_North)"
6,"01_R06_Hamburg (HH, HB, SH, NI)"
7,"01_R07_Berlin (BE, BB, MV)"
8,"01_R08_Leipzig (SN, ST, TH)"
9,"02_R01_Vienna (WI, NO, BL)"
10,"02_R02_Graz (SM, OO, KA)"
11,"02_R03_Salzburg (SB, TI, VA)"
12,"03_R01_Paris (IDF)"
13,"03_R02_Lille (NP)"
14,"03_R03_Strasbourg (GE)"
15,"03_R04_Nantes (GO)"
16,"03_R05_Lyon (AL)"
17,"03_R06_Bordeaux (SO)"
18,"03_R07_Marseille (SU)"
19,"03_R08_Ajaccio (CO)"
20,"04_R01_Brussels (BR)"
21,"04_R02_Antwerp (FR)"
22,"04_R03_Liège (WR)"
23,"05_R01_London (GL)"
24,"05_R02_Brighton (SE)"
25,"05_R03_Bristol (SW)"
26,"05_R04_Birmingham (WM)"
27,"05_R05_Liverpool (NW)"
28,"05_R06_Newcastle (NE)"
29,"05_R07_Leeds (YH)"
30,"05_R08_Nottingham (EM)"
31,"05_R09_Norwich (EA)"
32,"06_R01_Amsterdam (WN)"
33,"06_R02_Groningen (NN)"
34,"06_R03_Nijmegen (EN)"
35,"06_R04_Eindhoven (SN)"
